created_data,Text,PictureLink
2018-01-12T18:30:42+0000,"Your #GoogleAssistant has over 1 million Actions to help with your furry, fuzzy, (even scaly) best friends. Just say #HeyGoogle → assistant.google.com","['text', 'product', 'product', 'technology', 'font', 'line', 'product design', 'brand']"
2018-01-10T20:41:19+0000,Hungry? Your #GoogleAssistant is here to help with your nom noms. Just say #HeyGoogle → assistant.google.com,"['white', 'black', 'text', 'product', 'font', 'line', 'area', 'product design', 'angle', 'brand']"
2018-01-10T18:59:59+0000,The key to this tiny town? #HeyGoogle. We built a mini-city at #CES2018 to highlight some of the 1 million Actions you can take with your Assistant. Take a staycation in 360° → g.co/CES,"['mode of transport', 'product', 'recreation', 'art']"
2018-01-09T22:49:26+0000,"Jazz. Rock. Epic Doom Metal. Whatever’s on your playlist, your #GoogleAssistant has over a million Actions to help you 💃, 🎤 and 🤘. Just say #HeyGoogle → assistant.google.com","['white', 'black', 'text', 'product', 'font', 'line', 'area', 'product design', 'angle', 'shoe']"
2018-01-09T18:50:51+0000,"Ola! Bonjour! 안녕하세요! With over 1 million Actions, your #GoogleAssistant can help you get past hello. Just say #HeyGoogle → assistant.google.com","['text', 'font', 'product', 'line', 'brand', 'logo']"
2018-01-09T01:07:35+0000,We're introducing a new way to talk about all you can do with your #GoogleAssistant: Actions. It's the simplest way to get things done. Explore over a million Actions with #HeyGoogle → goo.gl/CFwVT5,"['vehicle', 'transport', 'motor vehicle', 'mode of transport', 'car', 'family car', 'automotive exterior', 'vehicle door', 'vehicle registration plate', 'service']"
2018-01-08T18:28:39+0000,"It’s that time again–this year’s #Doodle4Google contest is officially open! K-12 artists, bring your imagination to life with the theme “What inspires me…” 🖌️ → goo.gl/he3YUT","['text', 'yellow', 'product', 'font', 'product', 'logo', 'line', 'area', 'brand', 'graphics']"
2018-01-02T19:17:31+0000,Your feedback helps us create products you'll love. Join a user research study and receive a thank you gift for your participation → https://goo.gl/dohDYK,"['text', 'font', 'product', 'product', 'diagram', 'technology', 'line', 'computer icon', 'area', 'material']"
2017-12-31T15:26:16+0000,"As we bid farewell to 2017, take a look back at the most searched moments of the year. #YearinSearch g.co/2017","['black', 'text', 'technology', 'line', 'multimedia', 'font', 'area', 'product', 'automotive exterior', 'product design']"
2017-12-30T17:12:21+0000,"Turns out, the world is a pretty big place. Here are the top trending places we searched for in 2017. #YearinSearch g.co/2017","['planet', 'moon', 'atmosphere', 'astronomical object', 'phenomenon', 'sky', 'earth', 'sphere', 'night', 'circle']"
2017-12-29T17:11:59+0000,"What does ‘bib-i-a be ye ye’ mean? We didn’t know either. This year, we made song lyric translations trend in Search. #YearinSearch g.co/2017","['blue', 'text', 'product', 'font', 'product', 'line', 'logo', 'brand', 'area', 'banner']"
2017-12-25T16:09:51+0000,Merry mission accomplished! Santa and his team have finished their trip around the world. But the fun doesn’t stop here–Santa’s Village is still open for games → g.co/santatracker #TrackSanta,"['graphic design', 'christmas', 'illustration', 'art', 'play', 'recreation', 'fictional character', 'graphics', 'tree', 'holiday']"
2017-12-24T17:47:14+0000,It takes a village (of coding elves!) to get Santa’s sleigh up and away. Officially ready for take off! g.co/santatracker #TrackSanta,"['blue', 'games', 'technology', 'recreation', 'product', 'area', 'tree', 'line', 'signage', 'world']"
2017-12-22T18:54:29+0000,"Machine learning is creating new sounds and we're all ears. Join Nat & Friends with musician Andrew Huang as they jam with Magenta, our project to create new tools for art and music → g.co/go/NFMagenta","['clothing', 'product', 'head', 'furniture', 'dress', 'sitting', 'shoulder', 'outerwear', 'girl', 'top']"
2017-12-21T17:48:49+0000,"Looking back at a busy year, we're feeling...Googley. Before the curtain closes on 2017, here are 12 things you may have missed from Google → goo.gl/qky1c4","['product', 'font', 'creative arts']"
2017-12-18T22:31:51+0000,"This year, we questioned the little things. Big things. All the things. Find out what lingering mysteries trended in Search this year. #YearinSearch g.co/2017","['text', 'black', 'font', 'product', 'logo', 'product', 'line', 'area', 'brand', 'graphics']"
2017-12-16T16:07:49+0000,This year’s epic solar eclipse deserved an equally epic soundtrack. These were the top trending songs the world searched for during the eclipse. #YearinSearch g.co/2017,"['text', 'blue', 'font', 'banner', 'product', 'line', 'product', 'logo', 'area', 'brand']"
